State,Year,Population
AL,2000,4452173
AL,2001,4467634
AL,2002,4480089
AL,2003,4503491
AL,2004,4530729
AL,2005,4569805
AL,2006,4628981
AL,2007,4672840
AL,2008,4718206
AL,2009,4757938
AL,2010,4785514
AL,2011,4799642
AL,2012,4816632
AL,2013,4831586
AL,2014,4843737
AL,2015,4854803
AL,2016,4866824
AL,2017,4877989
AL,2018,4891628
AL,2019,4907965
AL,2020,4921532
AK,2000,627963
AK,2001,633714
AK,2002,642337
AK,2003,648414
AK,2004,659286
AK,2005,666946
AK,2006,675302
AK,2007,680300
AK,2008,687455
AK,2009,698895
AK,2010,713982
AK,2011,722349
AK,2012,730810
AK,2013,737626
AK,2014,737075
AK,2015,738430
AK,2016,742575
AK,2017,740983
AK,2018,736624
AK,2019,733603
AK,2020,731158
AZ,2000,5160586
AZ,2001,5273477
AZ,2002,5396255
AZ,2003,5510364
AZ,2004,5652404
AZ,2005,5839077
AZ,2006,6029141
AZ,2007,6167681
AZ,2008,6280362
AZ,2009,6343154
AZ,2010,6407342
AZ,2011,6473416
AZ,2012,6556344
AZ,2013,6634690
AZ,2014,6732873
AZ,2015,6832810
AZ,2016,6944767
AZ,2017,7048088
AZ,2018,7164228
AZ,2019,7291843
AZ,2020,7421401
AR,2000,2678588
AR,2001,2691571
AR,2002,2705927
AR,2003,2724816
AR,2004,2749686
AR,2005,2781097
AR,2006,2821761
AR,2007,2848650
AR,2008,2874554
AR,2009,2896843
AR,2010,2921998
AR,2011,2941038
AR,2012,2952876
AR,2013,2960459
AR,2014,2968759
AR,2015,2979732
AR,2016,2991815
AR,2017,3003855
AR,2018,3012161
AR,2019,3020985
AR,2020,3030522
CA,2000,33987977
CA,2001,34479458
CA,2002,34871843
CA,2003,35253159
CA,2004,35574576
CA,2005,35827943
CA,2006,36021202
CA,2007,36250311
CA,2008,36604337
CA,2009,36961229
CA,2010,37319550
CA,2011,37636311
CA,2012,37944551
CA,2013,38253768
CA,2014,38586706
CA,2015,38904296
CA,2016,39149186
CA,2017,39337785
CA,2018,39437463
CA,2019,39437610
CA,2020,39368078
CO,2000,4326921
CO,2001,4425687
CO,2002,4490406
CO,2003,4528732
CO,2004,4575013
CO,2005,4631888
CO,2006,4720423
CO,2007,4803868
CO,2008,4889730
CO,2009,4972195
CO,2010,5047539
CO,2011,5121900
CO,2012,5193660
CO,2013,5270774
CO,2014,5352637
CO,2015,5454328
CO,2016,5543844
CO,2017,5617421
CO,2018,5697155
CO,2019,5758486
CO,2020,5807719
CT,2000,3411777
CT,2001,3432835
CT,2002,3458749
CT,2003,3484336
CT,2004,3496094
CT,2005,3506956
CT,2006,3517460
CT,2007,3527270
CT,2008,3545579
CT,2009,3561807
CT,2010,3579173
CT,2011,3588632
CT,2012,3595211
CT,2013,3595792
CT,2014,3595697
CT,2015,3588561
CT,2016,3579830
CT,2017,3575324
CT,2018,3574561
CT,2019,3566022
CT,2020,3557006
DE,2000,786373
DE,2001,795699
DE,2002,806169
DE,2003,818003
DE,2004,830803
DE,2005,845150
DE,2006,859268
DE,2007,871749
DE,2008,883874
DE,2009,891730
DE,2010,899647
DE,2011,907590
DE,2012,915518
DE,2013,924062
DE,2014,933131
DE,2015,942065
DE,2016,949989
DE,2017,957942
DE,2018,966985
DE,2019,976668
DE,2020,986809
DC,2000,572046
DC,2001,574504
DC,2002,573158
DC,2003,568502
DC,2004,567754
DC,2005,567136
DC,2006,570681
DC,2007,574404
DC,2008,580236
DC,2009,592228
DC,2010,605282
DC,2011,620290
DC,2012,635737
DC,2013,651559
DC,2014,663603
DC,2015,677014
DC,2016,687576
DC,2017,697079
DC,2018,704147
DC,2019,708253
DC,2020,712816
FL,2000,16047515
